intensity,name,signal,start_date,start_time,end_date,end_time,duration
強烈熱帶風暴,獅子山,1,2010/08/29,10:35,2010/08/30,19:10,32 35
強烈熱帶風暴,獅子山,1,2010/09/02,20:40,2010/09/03,16:40,20 00
強颱風,凡亞比,1,2010/09/19,16:35,2010/09/20,16:05,23 30
強颱風,凡亞比,3,2010/09/20,16:05,2010/09/21,07:35,15 30
超強颱風,鮎魚,1,2010/10/20,16:35,2010/10/21,05:40,13 05
超強颱風,鮎魚,3,2010/10/21,05:40,2010/10/22,18:05,36 25
超強颱風,鮎魚,1,2010/10/22,18:05,2010/10/22,20:40,02 35
熱帶風暴,莎莉嘉,1,2011/06/10,09:40,2011/06/11,07:15,21 35
熱帶風暴,海馬,1,2011/06/20,21:35,2011/06/22,05:45,32 10
熱帶風暴,海馬,3,2011/06/22,05:45,2011/06/23,10:25,28 40
熱帶風暴,海馬,1,2011/06/23,10:25,2011/06/23,20:45,10 20
強烈熱帶風暴,洛坦,1,2011/07/28,08:40,2011/07/28,18:45,10 05
強烈熱帶風暴,洛坦,3,2011/07/28,18:45,2011/07/29,14:10,19 25
強烈熱帶風暴,洛坦,1,2011/07/29,14:10,2011/07/29,16:40,02 30
颱風,納沙,1,2011/09/27,22:40,2011/09/28,17:20,18 40
颱風,納沙,3,2011/09/28,17:20,2011/09/29,04:40,11 20
颱風,納沙,8 東南,2011/09/29,04:40,2011/09/29,16:10,11 30
颱風,納沙,3,2011/09/29,16:10,2011/09/30,00:20,08 10
颱風,納沙,1,2011/09/30,00:20,2011/09/30,06:25,06 05
強颱風,尼格,1,2011/10/02,10:40,2011/10/03,06:40,20 00
強颱風,尼格,3,2011/10/03,06:40,2011/10/03,19:10,12 30
強烈熱帶風暴,泰利,1,2012/06/17,16:20,2012/06/18,22:40,30 20
強烈熱帶風暴,泰利,3,2012/06/18,22:40,2012/06/19,10:20,11 40
強烈熱帶風暴,泰利,1,2012/06/19,10:20,2012/06/19,20:40,10 20
熱帶風暴,杜蘇芮,1,2012/06/28,21:40,2012/06/29,16:20,18 40
熱帶風暴,杜蘇芮,3,2012/06/29,16:20,2012/06/29,23:05,06 45
熱帶風暴,杜蘇芮,8 東北,2012/06/29,23:05,2012/06/30,00:40,01 35
熱帶風暴,杜蘇芮,8 東南,2012/06/30,00:40,2012/06/30,03:25,02 45
熱帶風暴,杜蘇芮,3,2012/06/30,03:25,2012/06/30,06:40,03 15
熱帶風暴,杜蘇芮,1,2012/06/30,06:40,2012/06/30,08:15,01 35
強颱風,韋森特,1,2012/07/21,15:40,2012/07/23,05:20,37 40
強颱風,韋森特,3,2012/07/23,05:20,2012/07/23,17:40,12 20
強颱風,韋森特,8 東北,2012/07/23,17:40,2012/07/23,23:20,05 40
強颱風,韋森特,9,2012/07/23,23:20,2012/07/24,00:45,01 25
強颱風,韋森特,10,2012/07/24,00:45,2012/07/24,03:35,02 50
強颱風,韋森特,8 東南,2012/07/24,03:35,2012/07/24,10:10,06 35
強颱風,韋森特,3,2012/07/24,10:10,2012/07/24,14:40,04 30
強颱風,韋森特,1,2012/07/24,14:40,2012/07/24,23:15,08 35
颱風,啟德,1,2012/08/15,20:10,2012/08/16,13:40,17 30
颱風,啟德,3,2012/08/16,13:40,2012/08/16,22:15,08 35
颱風,啟德,8 東南,2012/08/16,22:15,2012/08/17,06:20,08 05
颱風,啟德,3,2012/08/17,06:20,2012/08/17,15:20,09 00
颱風,啟德,1,2012/08/17,15:20,2012/08/17,16:25,01 05
強颱風,天秤,1,2012/08/24,22:40,2012/08/26,16:40,42 00
熱帶風暴,貝碧嘉,1,2013/06/21,07:40,2013/06/21,20:20,12 40
熱帶風暴,貝碧嘉,3,2013/06/21,20:20,2013/06/22,09:10,12 50
熱帶風暴,貝碧嘉,1,2013/06/22,09:10,2013/06/22,11:15,02 05
強烈熱帶風暴,溫比亞,1,2013/06/30,21:10,2013/07/01,13:15,16 05
強烈熱帶風暴,溫比亞,3,2013/07/01,13:15,2013/07/02,05:10,15 55
